disease,subtype,species,population,source,external_id,occurred_at,admin_level_1,admin_level_2,admin_level_3,latitude,longitude,cases,deaths,susceptible,distance_km,relevance_score,priority
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-mizxj,2026-03-20,Nordrhein-Westfalen,Herford,Hiddenhausen,52.17,8.61,1.0,1.0,,586.66,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-vffop,2026-03-20,Nordrhein-Westfalen,Herford,Löhne,52.21,8.75,1.0,1.0,,592.57,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-uo2lu,2026-03-20,Nordrhein-Westfalen,Herford,Hiddenhausen,52.168,8.6,1.0,1.0,,586.34,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-li3xp,2026-03-20,Nordrhein-Westfalen,Herford,Spenge,52.17,8.51,1.0,1.0,,585.68,,
HPAI(NON-P) in Wild Birds,H5N1,Larus cachinnans,wild,adis,DE-HPAI(NON-P)-2026-hzmon,2026-03-27,Baden-Württemberg,Bodensee,Bodensee,47.596,9.538,1.0,1.0,,173.4,,
HPAI(NON-P) in Wild Birds,H5N1,Branta canadensis,wild,adis,DE-HPAI(NON-P)-2026-lv8xz,2026-03-27,Rheinland-Pfalz,Neuwied,Linz am Rhein,50.565,7.277,1.0,1.0,,402.39,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-4vgb5,2026-03-30,Côte-d'Or,,,,,1.0,,181.0,,,
HPAI(NON-P) in Wild Birds,H5N1,Phalacrocoracidae (incognita),wild,adis,DE-HPAI(NON-P)-2026-rgqzm,2026-03-30,Nordrhein-Westfalen,Minden-Lübbecke,Petershagen,52.365,8.997,1.0,1.0,,612.55,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-uqq4b,2026-03-30,Nordrhein-Westfalen,Minden-Lübbecke,Petershagen,52.44,9.0,1.0,1.0,,620.77,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-5ysma,2026-03-30,Nordrhein-Westfalen,Minden-Lübbecke,Petershagen,52.44,9.0,1.0,1.0,,620.77,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-l0iz2,2026-03-31,Szabolcs-Szatmár-Bereg,Vásárosnamény,,48.204935,22.402586,1.0,1.0,,1128.67,,
HPAI(NON-P) in Wild Birds,H5N1,Branta canadensis,wild,adis,FR-HPAI(NON-P)-2026-adh56,2026-03-31,Yvelines,,,48.685238,2.029475,2.0,2.0,,448.16,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-d5tbt,2026-04-01,Baranya,Sellye,,45.877588,18.01367,1.0,,,818.11,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-kc7oj,2026-04-01,Baranya,Sellye,,45.893473,17.997345,1.0,,,816.5,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-9rl7d,2026-04-01,Szabolcs-Szatmár-Bereg,Mátészalka,,47.768084,22.365437,1.0,1.0,,1125.64,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-9ykg7,2026-04-02,Haute-Vienne,,,,,2.0,,177.0,,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-iwlmq,2026-04-02,Haute-Vienne,,,,,2.0,,128.0,,,
Enzootic bovine leukosis,,Cattle,,adis,PL-EBL-2026-pf00g,2026-04-02,Warmińsko-Mazurskie,Gołdap,Gołdap,,,33.0,,82.0,,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-6xtve,2026-04-03,Pyrénées-Atlantiques,,,,,1.0,,28.0,,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-pc9vl,2026-04-03,Calvados,,,,,1.0,,412.0,,,
West Nile Fever,,Corvus cornix,wild,adis,IT-WNF-2026-fryh7,2026-04-03,Sardegna,Oristano,Oristano,,,1.0,1.0,1.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-0n15u,2026-04-06,Baranya,Siklós,,45.802502,18.483373,2.0,,,855.44,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-icq1u,2026-04-06,Baranya,Sellye,,45.827586,17.897947,1.0,,,810.54,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-f4lek,2026-04-06,Baranya,Sellye,,45.823264,18.015118,1.0,,,819.51,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-ctx6b,2026-04-06,Heves,Bélapátfalva,,48.127528,20.373114,1.0,1.0,,977.95,,
HPAI(NON-P) in Wild Birds,H5N1,Accipitridae (incognita),wild,adis,DE-HPAI(NON-P)-2026-2y9sf,2026-04-07,Thüringen,Altenburger Land,Wieratal,50.915,12.546,1.0,1.0,,577.04,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-h6f1u,2026-04-08,Haute-Corse,,,,,1.0,,26.0,,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-wp86x,2026-04-08,Nordrhein-Westfalen,Borken,Borken,51.85,6.84,1.0,1.0,,546.84,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus cygnus,wild,adis,GR-HPAI(NON-P)-2026-rzgsq,2026-04-09,Kastoria,Kastoria,,40.508903,21.306431,1.0,1.0,,1320.98,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,DE-HPAI(NON-P)-2026-hkgk8,2026-04-09,Bayern,Neuburg-Schrobenhausen,Neuburg a.d. Donau,48.705,11.24,1.0,1.0,,343.93,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-ihsvp,2026-04-09,Baranya,Sellye,,45.773426,17.864001,1.0,1.0,,809.31,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-kp5ik,2026-04-09,Baranya,Sellye,,45.780577,17.873984,1.0,1.0,,809.89,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-ylgfq,2026-04-09,Baranya,Sellye,,45.772114,17.857712,1.0,1.0,,808.87,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-nk3cn,2026-04-09,Baranya,Siklós,,45.812318,18.382448,1.0,1.0,,847.56,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-tjkrp,2026-04-09,Bayern,Pfaffenhofen an der Ilm,Vohburg a.d. Donau,48.75,11.6,1.0,1.0,,368.93,,
HPAI(NON-P) in Wild Birds,H5N1,Anas platyrhynchos,wild,adis,DE-HPAI(NON-P)-2026-mg9d3,2026-04-10,Hamburg,Hamburg,Hamburg,53.57,9.97,1.0,1.0,,757.73,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-j2dpo,2026-04-10,Niedersachsen,Nienburg (Weser),Mittelweser,52.501,9.11,1.0,1.0,,628.88,,
HPAI(NON-P) in Wild Birds,H5N1,Accipitridae (incognita),wild,adis,DE-HPAI(NON-P)-2026-cdmp9,2026-04-13,Niedersachsen,Holzminden,Bodenwerder-Polle,51.879,9.391,1.0,1.0,,565.99,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-jlbcc,2026-04-13,Hajdú-Bihar,Debrecen,,47.562593,21.618425,1.0,1.0,,1070.2,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-x8n4n,2026-04-13,Szabolcs-Szatmár-Bereg,Vásárosnamény,,48.103233,22.568552,1.0,,,1140.75,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-gn38t,2026-04-13,Komárom-Esztergom,Tatabánya,,47.591641,18.6667,1.0,1.0,,848.78,,
A.S.F. in wild boar,,,wild,adis,RS-ASF-2026-qazaz,2026-04-14,Sremski,Ruma,,,,1.0,1.0,,,,
High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Birds,poultry,adis,PL-HPAI(P)-2026-jqn1t,2026-04-14,Mazowieckie,Mława,Szreńsk,53.003707,20.055575,91245.0,0.0,91245.0,1122.69,,
High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Birds,poultry,adis,PL-HPAI(P)-2026-63mpi,2026-04-14,Mazowieckie,Mława,Radzanów,52.940968,20.054849,61390.0,0.0,61390.0,1118.99,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-mso9p,2026-04-14,Lubelskie,Hrubieszów,Mircze,50.646624,23.873215,1.0,1.0,,1268.31,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-dgma9,2026-04-14,Lubelskie,Hrubieszów,Mircze,50.663394,23.87425,5.0,5.0,,1268.78,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-1vn90,2026-04-14,Lubelskie,Hrubieszów,Mircze,50.671748,23.863652,1.0,1.0,,1268.26,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-2hy6o,2026-04-14,Świętokrzyskie,Końskie,Gowarczów,51.308769,20.456723,1.0,,,1061.5,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-yxq1h,2026-04-14,Lubuskie,Strzelce-Drezdenko,Strzelce Krajeńskie,52.961035,15.624116,2.0,2.0,,887.28,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-h5o2k,2026-04-14,Liguria,Savona,Cairo Montenotte,44.398122,8.369956,1.0,1.0,,292.45,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-7u247,2026-04-14,Liguria,Savona,Dego,44.39332,8.371695,1.0,1.0,,293.0,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-5kpwd,2026-04-14,Emilia-Romagna,Parma,Langhirano,44.578012,10.181389,1.0,1.0,,338.23,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-4pmn0,2026-04-14,Toscana,Lucca,Camporgiano,44.159189,10.36531,1.0,1.0,,384.36,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-9v7gx,2026-04-14,Toscana,Lucca,Careggine,44.09112,10.350153,1.0,1.0,,389.89,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-h88ce,2026-04-14,Toscana,Lucca,Camporgiano,44.121724,10.340082,1.0,1.0,,386.63,,
West Nile Fever,,Corvus cornix,wild,adis,IT-WNF-2026-7gaxj,2026-04-14,Sardegna,Oristano,San Vero Milis,,,1.0,1.0,1.0,,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,IT-HPAI(NON-P)-2026-9wicu,2026-04-15,Friuli-Venezia Giulia,Gorizia,Grado,45.730068,13.362486,1.0,1.0,,473.72,,
Rabies virus (Inf. with),RABV,,,adis,TR-RABIES-2026-hlpoj,2026-04-15,IĞDIR,ARALIK,,39.9,44.43,2.0,1.0,,3056.88,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-ive8m,2026-04-15,Kujawsko-Pomorskie,Grudziądz (City),Grudziądz,53.416665,18.788022,1.0,1.0,,1079.11,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-4izvw,2026-04-15,Kujawsko-Pomorskie,Grudziądz,Radzyń Chełmiński,53.380328,18.810422,1.0,1.0,,1077.85,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-yqqcw,2026-04-15,Kujawsko-Pomorskie,Grudziądz (City),Grudziądz,53.449632,18.738918,4.0,4.0,,1078.75,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-9o4s4,2026-04-15,Kujawsko-Pomorskie,Grudziądz,Grudziądz (rural),53.432656,18.785123,1.0,1.0,,1080.03,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-b7x5x,2026-04-15,Kujawsko-Pomorskie,Grudziądz,Radzyń Chełmiński,53.378017,18.843599,1.0,1.0,,1079.46,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-2v5kq,2026-04-15,Kujawsko-Pomorskie,Grudziądz,Grudziądz (rural),53.439935,18.798355,1.0,1.0,,1081.22,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-7wa1w,2026-04-15,Kujawsko-Pomorskie,Bydgoszcz,Dąbrowa Chełmińska,53.20834,18.248885,2.0,2.0,,1036.59,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-6j0eg,2026-04-15,Kujawsko-Pomorskie,Grudziądz,Grudziądz (rural),53.433615,18.818564,2.0,2.0,,1081.86,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-sjpmp,2026-04-15,Kujawsko-Pomorskie,Grudziądz,Grudziądz (rural),53.439929,18.779885,1.0,1.0,,1080.24,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-xfrg5,2026-04-15,Kujawsko-Pomorskie,Wąbrzeźno,Płużnica,53.333336,18.799142,1.0,1.0,,1074.12,,
HPAI(NON-P) in Wild Birds,H5N1,,wild,adis,NL-HPAI(NON-P)-2026-f6io1,2026-04-15,Noord-Holland,Amsterdam,,52.374861,4.839871,1.0,1.0,,631.84,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-dc8yr,2026-04-15,Lubelskie,Łęczna,Ludwin,51.431815,23.024163,1.0,1.0,,1233.77,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-gu27a,2026-04-15,Emilia-Romagna,Parma,Langhirano,44.569575,10.171044,1.0,1.0,,338.47,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-cdndg,2026-04-15,Toscana,Lucca,Vagli Sotto,44.085365,10.312056,1.0,1.0,,388.7,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-fugau,2026-04-15,Toscana,Lucca,Vagli Sotto,44.090403,10.306967,1.0,1.0,,388.01,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-iqmwi,2026-04-15,Toscana,Lucca,Vagli Sotto,44.113542,10.311508,1.0,1.0,,386.09,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-gdwks,2026-04-15,Toscana,Lucca,Camporgiano,44.149414,10.347887,1.0,1.0,,384.45,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-7e0xa,2026-04-15,Toscana,Lucca,San Romano In Garfagnana,44.1983,10.348949,1.0,1.0,,380.06,,
Rabies virus (Inf. with),RABV,Cattle,,adis,RO-RABIES-2026-jzrgu,2026-04-15,Vaslui,Husi,,46.689686,28.108682,3.0,3.0,17.0,1567.85,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-kmapn,2026-04-15,Fejér,Bicske,,47.506534,18.567884,1.0,,,841.3,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-kygae,2026-04-16,Landes,,,,,1.0,,59.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-imtjs,2026-04-16,Zachodniopomorskie,Drawsko,Kalisz Pomorski,53.364485,15.949476,1.0,1.0,,934.61,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-pxm2c,2026-04-16,Zachodniopomorskie,Drawsko,Kalisz Pomorski,53.38893,15.942349,1.0,1.0,,936.26,,
A.S.F. in domestic pigs,,,,adis,RS-ASF-2026-mtc0l,2026-04-16,Pomoravski,Jagodina,,,,2.0,,7.0,,,
A.S.F. in domestic pigs,,,,adis,RS-ASF-2026-38mj9,2026-04-16,Pomoravski,Jagodina,,,,3.0,3.0,18.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-mxa11,2026-04-16,Podkarpackie,Przemyśl,Dubiecko,49.85564,22.386483,1.0,1.0,,1147.03,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-r49q7,2026-04-16,Podkarpackie,Przeworsk,Jawornik Polski,49.902543,22.349464,1.0,1.0,,1145.4,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-tegdk,2026-04-16,Podkarpackie,Łańcut,Łańcut (rural),50.014593,22.15517,1.0,1.0,,1134.24,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-6auih,2026-04-16,Podkarpackie,Łańcut,Markowa,49.973689,22.256246,1.0,1.0,,1140.4,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-1wff1,2026-04-16,Podkarpackie,Rzeszów,Dynów (rural),49.841576,22.29518,1.0,1.0,,1140.31,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-b3o4q,2026-04-16,Podkarpackie,Rzeszów,Chmielnik,49.927004,22.216074,5.0,5.0,,1136.56,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-yeqh0,2026-04-16,Podkarpackie,Rzeszów,Chmielnik,49.99205,22.084676,1.0,1.0,,1128.8,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-hewz0,2026-04-16,Lubelskie,Hrubieszów,Mircze,50.646517,23.869862,2.0,2.0,,1268.07,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-v6tvb,2026-04-16,Lubuskie,Strzelce-Drezdenko,Strzelce Krajeńskie,52.961358,15.595728,2.0,2.0,,885.98,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-wbhh8,2026-04-16,Lubuskie,Strzelce-Drezdenko,Dobiegniew,52.956558,15.650426,1.0,1.0,,888.16,,
Bovine spongiform encephalopathy (atypical) for AHL,,Cattle,,adis,IE-BSE.ATYP-2026-49lxq,2026-04-16,Kilkenny,,,,,1.0,,18.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-0vwrf,2026-04-16,Liguria,Savona,Cairo Montenotte,44.418116,8.302438,1.0,1.0,,289.04,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-sqh7c,2026-04-16,Toscana,Massa Carrara,Comano,44.314355,10.177951,1.0,1.0,,361.66,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-7tof0,2026-04-16,Toscana,Massa Carrara,Casola In Lunigiana,44.255273,10.215917,1.0,1.0,,368.78,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-9jbmm,2026-04-16,Toscana,Lucca,Pieve Fosciana,44.121745,10.366138,1.0,1.0,,387.81,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-3cfp5,2026-04-16,Toscana,Lucca,Pieve Fosciana,44.123847,10.392719,1.0,1.0,,388.84,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-pvfhk,2026-04-16,Toscana,Lucca,Giuncugnano,44.205255,10.244762,1.0,1.0,,374.66,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-2k0al,2026-04-16,Toscana,Lucca,Giuncugnano,44.226736,10.253886,1.0,1.0,,373.11,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-h84tg,2026-04-16,Toscana,Lucca,San Romano In Garfagnana,44.196785,10.335702,1.0,1.0,,379.59,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-7tgls,2026-04-16,Toscana,Lucca,San Romano In Garfagnana,44.220172,10.335229,1.0,1.0,,377.44,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-yie94,2026-04-16,Nordrhein-Westfalen,Olpe,Kirchhundem,51.06,8.08,1.0,1.0,,459.55,,
Newcastle disease virus (Inf. with),,Birds,poultry,adis,DE-ND-2026-twee7,2026-04-16,Bayern,Rottal-Inn,Gangkofen,48.46,12.57,10.0,10.0,30000.0,418.46,,
West Nile Fever,,Equidae (dom),,adis,FR-WNF-2026-dw4tl,2026-04-16,Haute-Corse,,,41.944274,9.373109,1.0,1.0,1.0,576.96,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-tsbsh,2026-04-16,Šiauliai,Pakruojo,,56.247473,24.022996,1.0,,,1535.53,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-jfz2q,2026-04-16,Panevezio,Panevėžio,,55.638502,24.013816,5.0,5.0,,1496.9,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-60fq0,2026-04-16,Panevezio,Panevėžio,,55.655294,24.047622,5.0,5.0,,1499.69,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-qpchz,2026-04-16,Panevezio,Panevėžio,,55.665513,24.03184,2.0,2.0,,1499.49,,
HPAI(NON-P) in Wild Birds,H5N1,Accipitridae (incognita),wild,adis,DE-HPAI(NON-P)-2026-sx1o4,2026-04-16,Niedersachsen,Cuxhaven,Land Hadeln,53.76,8.82,1.0,1.0,,763.66,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,RO-ASF-2026-xjwlr,2026-04-16,Buzău,Nehoiu,,45.388088,26.319356,1.0,1.0,,1460.0,,
Anthrax,,,,adis,TR-ANTHRAX-2026-5g03j,2026-04-17,ÇANKIRI,ILGAZ,,,,1.0,1.0,,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-03vgn,2026-04-17,Kujawsko-Pomorskie,Bydgoszcz,Dąbrowa Chełmińska,53.178979,18.233797,3.0,3.0,,1033.8,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-ikwpq,2026-04-17,Kujawsko-Pomorskie,Bydgoszcz,Dąbrowa Chełmińska,53.182381,18.249288,3.0,3.0,,1034.84,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-5fjbv,2026-04-17,Kujawsko-Pomorskie,Bydgoszcz,Dąbrowa Chełmińska,53.189193,18.204299,4.0,4.0,,1032.94,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-vgqvb,2026-04-17,Kujawsko-Pomorskie,Bydgoszcz,Dąbrowa Chełmińska,53.210904,18.250498,2.0,2.0,,1036.85,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-cjvqo,2026-04-17,Nordrhein-Westfalen,Steinfurt,Lienen,52.12,7.98,1.0,1.0,,576.38,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-39q7p,2026-04-17,Sachsen,Dresden,Dresden,51.019,13.82,1.0,1.0,,648.53,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-y2iz2,2026-04-17,Podkarpackie,Przemyśl,Dubiecko,49.841642,22.374056,1.0,1.0,,1145.87,,
HPAI(NON-P) in Wild Birds,H5N1,Anatidae (incognita),wild,adis,DE-HPAI(NON-P)-2026-zg3ck,2026-04-17,Nordrhein-Westfalen,Coesfeld,Dülmen,51.86,7.35,1.0,1.0,,546.24,,
HPAI(NON-P) in Wild Birds,H5N1,Anatidae (incognita),wild,adis,DE-HPAI(NON-P)-2026-m9i01,2026-04-17,Nordrhein-Westfalen,Coesfeld,Dülmen,51.86,7.35,1.0,1.0,,546.24,,
HPAI(NON-P) in Wild Birds,H5N1,Anatidae (incognita),wild,adis,DE-HPAI(NON-P)-2026-6tk6g,2026-04-17,Nordrhein-Westfalen,Coesfeld,Dülmen,51.86,7.35,1.0,1.0,,546.24,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-xe8d0,2026-04-17,Lubelskie,Parczew,Siemień,51.578123,22.719594,1.0,1.0,,1218.88,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-4j4qe,2026-04-17,Lubelskie,Radzyń Podlaski,Czemierniki,51.676377,22.665236,3.0,3.0,,1218.94,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-zoggy,2026-04-17,Lubelskie,Radzyń Podlaski,Czemierniki,51.604225,22.686905,4.0,4.0,,1217.69,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-29vtx,2026-04-17,Lubelskie,Biłgoraj,Turobin,50.792021,22.663238,1.0,1.0,,1189.46,,
